,PostalCode,Fecha_más_reciente,Recuento_transacciones,Cantidad,Puntuación_actualidad,Puntuación_frecuencia,Puntuación_monetaria,Puntuación_RFM,quintile,Country,Country_codes
55,12415.0,2011-11-15 10:32:00,261,40590.909999999996,4,5,5,455,4,Australia,0
56,12417.0,2011-12-06 14:52:00,68,1296.0599999999997,5,4,4,544,5,Belgium,3
57,12418.0,2011-08-19 11:08:00,9,186.19000000000003,2,3,4,234,2,Switzerland,32
58,12420.0,2011-10-07 08:55:00,9,191.39999999999998,3,2,4,324,3,Cyprus,7
59,12421.0,2011-11-24 09:07:00,16,255.14999999999995,4,2,4,424,4,Spain,30
60,12422.0,2011-09-05 09:48:00,12,196.84999999999997,2,3,4,234,2,Switzerland,32
61,12423.0,2011-12-09 10:10:00,36,500.09,5,3,2,532,5,Belgium,3
62,12424.0,2011-06-30 12:06:00,10,520.3000000000001,2,3,5,235,2,Australia,0
63,12425.0,2011-09-22 17:31:00,8,156.75,2,3,3,233,2,Portugal,26
64,12426.0,2011-05-29 12:26:00,10,186.9,1,4,4,144,1,Germany,14
65,12427.0,2011-10-10 15:15:00,13,263.95000000000005,3,3,4,334,3,Germany,14
66,12428.0,2011-11-14 08:22:00,95,2968.9700000000016,4,5,5,455,4,Finland,12
67,12429.0,2011-11-30 17:22:00,26,1087.44,5,2,5,525,5,Denmark,9
68,12430.0,2011-10-27 15:09:00,4,52.32,3,1,3,313,3,Norway,24
69,12431.0,2011-11-04 11:55:00,75,1580.2700000000004,3,5,5,355,3,Belgium,3
70,12432.0,2011-10-28 11:43:00,32,1152.73,3,4,5,345,3,Norway,24
71,12433.0,2011-12-09 08:48:00,124,3781.35,5,5,4,554,5,Norway,24
72,12434.0,2011-09-16 12:38:00,18,268.19,2,4,3,243,2,Australia,0
73,12435.0,2011-09-21 09:06:00,14,3267.89,2,4,5,245,2,Denmark,9
74,12436.0,2011-09-01 12:09:00,4,181.85000000000002,2,2,5,225,2,Norway,24
75,12437.0,2011-12-08 11:35:00,55,1426.15,5,4,5,545,5,France,13
76,12438.0,2011-11-25 13:28:00,29,1240.56,4,4,5,445,4,Norway,24
77,12441.0,2010-12-08 10:45:00,5,76.2,1,3,3,133,1,France,13
78,12442.0,2011-12-06 14:22:00,5,55.56,5,1,2,512,5,Spain,30
79,12444.0,2011-11-18 13:23:00,59,1599.99,4,5,4,454,4,Norway,24
80,12445.0,2011-11-17 18:43:00,3,103.4,4,1,4,414,4,Spain,30
81,12446.0,2011-10-13 12:50:00,14,243.46,3,3,4,334,3,RSA,27
82,12447.0,2011-04-10 13:25:00,6,143.42000000000002,1,3,5,135,1,Belgium,3
83,12448.0,2011-10-26 13:46:00,6,137.55,3,2,3,323,3,Spain,30
84,12449.0,2011-11-17 13:46:00,54,1125.63,4,5,3,453,4,Belgium,3
85,12450.0,2011-06-19 14:36:00,3,50.459999999999994,2,1,3,213,2,Spain,30
86,12451.0,2011-11-29 08:40:00,112,2982.0300000000016,5,5,4,554,5,Switzerland,32
87,12452.0,2011-11-23 08:05:00,8,117.69,4,2,2,422,4,Switzerland,32
88,12453.0,2011-07-28 14:08:00,11,184.04,2,3,3,233,2,Austria,1
89,12454.0,2011-10-17 15:07:00,12,509.4999999999999,3,3,5,335,3,Spain,30
90,12455.0,2011-09-27 15:31:00,34,1104.84,2,5,5,255,2,Cyprus,7
91,12456.0,2011-10-26 14:41:00,42,1471.1799999999998,3,5,5,355,3,Switzerland,32
92,12457.0,2011-10-12 13:46:00,18,841.15,3,4,5,345,3,Switzerland,32
93,12458.0,2011-09-29 15:25:00,8,164.37,3,2,4,324,3,Switzerland,32
94,12461.0,2011-07-08 10:23:00,9,115.85,2,3,2,232,2,Switzerland,32
95,12462.0,2011-12-07 14:02:00,22,266.37,5,2,3,523,5,Spain,30
96,12463.0,2011-10-24 13:43:00,25,333.72,3,4,3,343,3,Belgium,3
97,12464.0,2011-11-17 15:55:00,11,372.35,4,2,5,425,4,Belgium,3
98,12465.0,2011-12-02 11:34:00,16,218.1,5,2,2,522,5,Belgium,3
99,12468.0,2011-06-05 11:36:00,14,242.34000000000003,1,5,3,153,1,Germany,14
100,12471.0,2011-12-07 15:43:00,161,6913.000000000002,5,5,5,555,5,Germany,14
101,12472.0,2011-11-08 12:39:00,126,1873.919999999999,4,5,5,455,4,Germany,14
102,12473.0,2011-11-10 13:44:00,53,1419.1100000000001,4,5,4,454,4,Germany,14
103,12474.0,2011-11-22 14:39:00,131,1955.2800000000002,4,5,5,455,4,Germany,14
104,12475.0,2011-10-17 10:10:00,6,150.9,3,2,4,324,3,Germany,14
105,12476.0,2011-12-08 14:08:00,81,2220.76,5,4,5,545,5,Germany,14
106,12477.0,2011-11-17 09:51:00,85,3607.050000000001,4,5,5,455,4,Germany,14
107,12478.0,2011-12-06 09:56:00,12,295.01,5,1,5,515,5,Greece,15
108,12479.0,2011-12-05 16:39:00,10,111.14999999999999,5,1,3,513,5,Germany,14
109,12480.0,2011-11-11 14:52:00,45,889.1899999999999,4,4,5,445,4,Germany,14
110,12481.0,2011-11-17 08:29:00,60,1536.32,4,5,4,454,4,Germany,14
111,12483.0,2011-11-22 17:02:00,26,448.66,4,3,4,434,4,Sweden,31
112,12484.0,2011-11-04 15:18:00,124,1289.2100000000003,3,5,5,355,3,Spain,30
113,12488.0,2011-11-30 08:50:00,18,466.67999999999995,5,2,4,524,5,France,13
114,12489.0,2011-01-07 13:13:00,3,76.45,1,2,4,124,1,France,13
115,12490.0,2011-12-04 16:07:00,69,1384.0700000000004,5,4,5,545,5,France,13
116,12491.0,2011-11-01 12:18:00,11,213.65,3,3,3,333,3,France,13
117,12492.0,2011-10-07 15:15:00,9,108.73000000000002,3,2,2,322,3,Germany,14
118,12493.0,2011-06-27 10:17:00,9,174.25,2,3,3,233,2,France,13
119,12494.0,2011-11-30 09:21:00,23,264.36000000000007,5,2,3,523,5,France,13
120,12497.0,2011-09-19 12:29:00,5,501.6,2,2,5,225,2,Germany,14
121,12498.0,2011-11-18 12:53:00,5,114.60000000000001,4,1,4,414,4,Germany,14
122,12500.0,2011-11-16 16:20:00,24,1292.9399999999998,4,3,5,435,4,Germany,14
123,12501.0,2011-01-28 13:54:00,35,535.9800000000001,1,5,5,155,1,Germany,14
124,12502.0,2011-09-05 11:52:00,48,1259.2699999999998,2,5,5,255,2,Spain,30
125,12504.0,2011-11-21 16:02:00,6,-60.14999999999998,4,1,1,411,4,Germany,14
126,12506.0,2011-04-21 08:54:00,9,28.9,1,4,1,141,1,France,13
127,12507.0,2011-07-28 17:09:00,6,187.92000000000002,2,2,5,225,2,Spain,30
128,12508.0,2011-11-13 15:37:00,19,151.12,4,3,1,431,4,France,13
129,12509.0,2011-02-28 14:45:00,4,125.5,1,3,4,134,1,France,13
130,12510.0,2011-07-20 10:15:00,6,291.2,2,2,5,225,2,Spain,30
131,12512.0,2011-10-04 14:53:00,5,19.049999999999997,3,1,1,311,3,Israel,17
132,12513.0,2011-09-16 12:45:00,13,196.50000000000003,2,4,2,242,2,France,13
133,12514.0,2011-03-17 16:38:00,14,295.68,1,5,4,154,1,Italy,18
134,12515.0,2010-12-21 15:43:00,9,162.14999999999998,1,4,4,144,1,Italy,18
135,12516.0,2011-09-23 09:13:00,9,454.36,2,3,5,235,2,Germany,14
136,12517.0,2011-11-11 14:04:00,74,588.0700000000002,4,5,2,452,4,Germany,14
137,12518.0,2011-12-09 10:13:00,39,617.66,5,3,3,533,5,Germany,14
138,12519.0,2011-10-07 09:26:00,6,91.54000000000002,3,2,2,322,3,Germany,14
139,12520.0,2011-09-21 15:23:00,34,481.76,2,5,3,253,2,Germany,14
140,12521.0,2011-07-20 10:51:00,10,166.77999999999997,2,3,3,233,2,Germany,14
141,12522.0,2011-10-19 14:41:00,1,18.0,3,1,1,311,3,Germany,14
142,12523.0,2011-12-08 11:46:00,34,506.9800000000001,5,3,3,533,5,France,13
143,12524.0,2011-10-07 11:19:00,48,1201.06,3,5,5,355,3,Germany,14
144,12526.0,2011-12-09 12:09:00,21,432.11,5,2,4,524,5,Germany,14
145,12527.0,2011-02-18 09:41:00,3,81.30000000000001,1,2,4,124,1,Germany,14
146,12528.0,2011-11-30 14:40:00,29,608.63,5,3,3,533,5,Germany,14
147,12530.0,2011-10-11 12:34:00,16,313.22999999999996,3,3,5,335,3,Germany,14
148,12531.0,2011-11-25 11:12:00,2,35.85,4,1,2,412,4,Germany,14
149,12532.0,2011-11-09 13:47:00,9,196.82999999999998,4,2,3,423,4,France,13
150,12534.0,2011-08-01 10:26:00,24,341.5199999999999,2,5,2,252,2,Germany,14
151,12535.0,2011-09-09 08:48:00,6,146.89999999999998,2,2,4,224,2,France,13
152,12536.0,2011-12-02 12:43:00,85,1223.0999999999997,5,4,4,544,5,France,13
153,12538.0,2011-11-10 17:16:00,6,117.14000000000001,4,1,4,414,4,Spain,30
154,12539.0,2011-11-17 13:30:00,75,1423.2600000000004,4,5,4,454,4,Spain,30
155,12540.0,2011-11-20 11:31:00,156,4106.999999999998,4,5,5,455,4,Spain,30
156,12541.0,2011-11-10 10:40:00,13,308.18999999999994,4,2,5,425,4,Spain,30
157,12544.0,2011-11-10 11:12:00,6,79.78,4,1,3,413,4,Spain,30
158,12545.0,2011-09-25 13:39:00,20,420.24,2,4,5,245,2,Spain,30
159,12546.0,2011-10-24 12:09:00,26,400.32,3,4,3,343,3,Spain,30
160,12547.0,2011-05-26 12:38:00,2,48.4,1,1,4,114,1,Spain,30
161,12548.0,2011-06-26 15:35:00,1,28.0,2,1,2,212,2,Spain,30
162,12550.0,2011-09-21 14:35:00,23,459.58,2,5,3,253,2,Spain,30
163,12551.0,2010-12-17 11:23:00,4,71.0,1,3,2,132,1,Spain,30
164,12552.0,2011-11-01 10:02:00,6,225.05,3,2,5,325,3,Italy,18
165,12553.0,2011-12-01 16:38:00,55,961.1899999999999,5,4,3,543,5,France,13
166,12556.0,2011-10-20 13:06:00,37,159.23,3,5,1,351,3,Spain,30
167,12557.0,2011-11-23 16:59:00,11,4542.66,4,2,5,425,4,Spain,30
168,12558.0,2011-12-08 10:14:00,10,-55.239999999999995,5,1,1,511,5,USA,33
169,12559.0,2011-01-24 10:12:00,6,196.09999999999997,1,3,5,135,1,Germany,14
170,12560.0,2011-12-04 13:54:00,40,749.32,5,3,4,534,5,Germany,14
171,12561.0,2011-02-10 11:39:00,4,54.8,1,3,2,132,1,Germany,14
172,12562.0,2011-12-01 17:20:00,57,1137.9099999999999,5,4,4,544,5,France,13
173,12564.0,2011-03-23 14:55:00,4,74.25,1,3,3,133,1,France,13
174,12565.0,2011-02-24 10:34:00,5,80.03999999999999,1,3,3,133,1,Saudi Arabia,28
175,12566.0,2011-09-28 09:57:00,4,50.169999999999995,2,2,1,221,2,Germany,14
176,12567.0,2011-11-17 11:02:00,135,2719.5099999999993,4,5,5,455,4,France,13
177,12569.0,2011-12-07 16:24:00,59,1360.0000000000005,5,4,4,544,5,Germany,14
178,12571.0,2011-10-31 10:19:00,14,237.56000000000003,3,3,3,333,3,France,13
179,12572.0,2011-12-01 09:20:00,17,292.72,5,2,3,523,5,Germany,14
180,12573.0,2011-04-26 15:52:00,7,51.04,1,4,1,141,1,France,13
181,12574.0,2011-01-28 09:20:00,7,145.10000000000002,1,4,4,144,1,France,13
182,12576.0,2011-11-04 10:11:00,28,409.91999999999996,3,4,4,344,3,Poland,25
183,12577.0,2011-11-04 13:24:00,40,183.89999999999998,3,5,1,351,3,France,13
184,12578.0,2011-11-18 13:30:00,32,544.73,4,4,3,443,4,Italy,18
185,12579.0,2011-09-27 13:57:00,10,157.35000000000002,2,3,3,233,2,France,13
186,12580.0,2011-04-07 10:24:00,8,126.1,1,4,3,143,1,Germany,14
187,12581.0,2011-10-31 08:56:00,4,43.599999999999994,3,1,2,312,3,Germany,14
188,12582.0,2011-04-15 08:45:00,4,67.80000000000001,1,3,2,132,1,Finland,12
189,12583.0,2011-12-07 08:07:00,86,2286.32,5,4,5,545,5,France,13
190,12584.0,2011-12-06 09:35:00,33,272.8499999999999,5,3,1,531,5,Italy,18
191,12585.0,2011-04-19 13:39:00,29,652.78,1,5,5,155,1,Germany,14
192,12586.0,2011-11-22 16:24:00,2,42.400000000000006,4,1,2,412,4,Italy,18
193,12587.0,2011-12-02 12:47:00,2,62.400000000000006,5,1,2,512,5,Finland,12
194,12588.0,2011-10-31 15:01:00,4,75.4,3,1,3,313,3,Finland,12
195,12589.0,2011-11-11 10:19:00,12,224.09,4,2,3,423,4,France,13
196,12590.0,2011-06-02 14:25:00,25,3739.06,1,5,5,155,1,Germany,14
197,12591.0,2011-01-26 14:35:00,9,123.55000000000001,1,4,3,143,1,Italy,18
198,12592.0,2011-09-08 15:04:00,3,59.5,2,1,3,213,2,Germany,14
199,12593.0,2011-08-02 09:55:00,5,96.0,2,2,3,223,2,France,13
200,12594.0,2011-11-02 12:20:00,28,818.7900000000001,3,4,5,345,3,Italy,18
201,12596.0,2011-10-19 13:02:00,8,262.67,3,2,5,325,3,Spain,30
202,12597.0,2011-11-20 13:33:00,72,1335.1500000000005,4,5,4,454,4,Spain,30
203,12598.0,2011-11-30 12:18:00,41,877.1600000000001,5,3,5,535,5,France,13
204,12599.0,2011-11-10 13:34:00,14,239.64,4,2,4,424,4,France,13
205,12600.0,2011-11-11 10:29:00,16,807.5699999999999,4,2,5,425,4,Germany,14
206,12601.0,2011-06-03 10:17:00,7,116.69999999999999,1,4,3,143,1,Germany,14
207,12602.0,2011-10-12 11:22:00,2,25.740000000000002,3,1,2,312,3,France,13
208,12603.0,2011-11-18 10:42:00,3,739.1999999999999,4,1,5,415,4,Germany,14
209,12604.0,2011-09-21 14:08:00,5,77.74000000000001,2,2,2,222,2,France,13
210,12605.0,2010-12-09 15:41:00,1,-1.65,1,1,1,111,1,Germany,14
211,12607.0,2011-10-12 16:17:00,61,-69.76999999999995,3,5,1,351,3,USA,33
212,12609.0,2011-09-22 16:34:00,20,421.27,2,4,5,245,2,Germany,14
213,12610.0,2011-11-17 09:34:00,34,596.6499999999999,4,4,4,444,4,Italy,18
214,12611.0,2011-10-18 13:12:00,22,378.97,3,4,3,343,3,Italy,18
215,12612.0,2011-10-13 12:12:00,5,109.04000000000002,3,1,5,315,3,Germany,14
216,12613.0,2011-10-13 14:59:00,41,776.4800000000004,3,5,3,353,3,Germany,14
217,12614.0,2011-03-07 10:22:00,7,112.25000000000001,1,4,2,142,1,Germany,14
218,12615.0,2011-12-07 15:02:00,29,637.51,5,3,3,533,5,France,13
219,12616.0,2011-09-05 15:17:00,8,169.35000000000002,2,3,3,233,2,France,13
220,12617.0,2011-11-10 14:39:00,10,81.39999999999998,4,2,1,421,4,France,13
221,12618.0,2011-11-18 11:10:00,4,59.25,4,1,3,413,4,Italy,18
222,12619.0,2011-11-23 14:52:00,41,1440.06,4,4,5,445,4,Germany,14
223,12620.0,2011-11-25 10:20:00,23,365.08,4,3,3,433,4,France,13
224,12621.0,2011-12-08 11:25:00,122,3573.0900000000015,5,5,4,554,5,Germany,14
225,12622.0,2011-04-21 16:39:00,4,71.8,1,3,3,133,1,Germany,14
226,12623.0,2011-03-08 13:50:00,3,32.599999999999994,1,2,1,121,1,Germany,14
227,12624.0,2011-08-25 15:04:00,12,218.20000000000005,2,3,4,234,2,France,13
228,12625.0,2011-05-12 09:54:00,22,630.3,1,5,5,155,1,Germany,14
229,12626.0,2011-11-16 16:06:00,73,1566.4500000000005,4,5,4,454,4,Germany,14
230,12627.0,2011-11-29 12:07:00,74,1500.25,5,4,5,545,5,Germany,14
231,12628.0,2011-12-05 13:15:00,11,168.52,5,1,3,513,5,Germany,14
232,12630.0,2011-11-30 10:48:00,20,315.70000000000005,5,2,3,523,5,Finland,12
233,12631.0,2011-10-13 13:53:00,9,131.98,3,2,3,323,3,Finland,12
234,12633.0,2011-10-12 11:40:00,33,701.2000000000002,3,4,5,345,3,Germany,14
235,12635.0,2011-09-11 11:04:00,36,661.5299999999999,2,5,4,254,2,Germany,14
236,12637.0,2011-10-03 13:46:00,118,1940.909999999999,3,5,5,355,3,France,13
237,12638.0,2011-11-06 13:11:00,13,162.42,3,3,2,332,3,Sweden,31
238,12639.0,2011-04-15 12:48:00,3,50.150000000000006,1,2,3,123,1,Sweden,31
239,12640.0,2011-11-15 08:43:00,15,302.49,4,2,5,425,4,France,13
240,12641.0,2011-08-16 13:26:00,2,30.200000000000003,2,1,2,212,2,Sweden,31
241,12642.0,2011-11-14 15:03:00,10,251.34,4,2,4,424,4,Germany,14
242,12643.0,2011-08-03 12:56:00,5,634.8,2,2,5,225,2,France,13
243,12644.0,2011-08-02 10:33:00,12,166.43,2,3,3,233,2,Germany,14
244,12645.0,2011-11-06 12:38:00,25,694.8,3,4,5,345,3,Germany,14
245,12646.0,2011-12-05 10:14:00,11,271.94000000000005,5,1,5,515,5,USA,33
246,12647.0,2011-11-17 12:56:00,39,1133.4399999999998,4,4,5,445,4,Germany,14
247,12648.0,2011-07-08 11:55:00,4,66.44,2,2,2,222,2,Germany,14
248,12649.0,2011-08-24 14:40:00,11,165.99,2,3,3,233,2,Germany,14
249,12650.0,2011-12-06 16:34:00,5,40.96,5,1,1,511,5,France,13
250,12651.0,2011-01-09 12:46:00,4,50.7,1,3,1,131,1,France,13
251,12652.0,2011-01-21 17:01:00,19,270.03000000000003,1,5,4,154,1,France,13
252,12653.0,2011-07-14 10:41:00,18,893.0999999999999,2,4,5,245,2,Israel,17
253,12654.0,2011-11-02 14:57:00,10,154.38,3,2,4,324,3,Germany,14
254,12656.0,2011-11-22 13:42:00,37,1370.0999999999997,4,4,5,445,4,France,13
255,12657.0,2011-11-28 15:47:00,14,368.5,5,2,3,523,5,France,13
256,12658.0,2011-11-21 10:22:00,9,216.6,4,2,3,423,4,Germany,14
257,12659.0,2011-11-10 11:53:00,2,30.0,4,1,2,412,4,France,13
258,12660.0,2011-11-28 13:26:00,4,70.65,5,1,2,512,5,France,13
259,12662.0,2011-12-09 11:59:00,68,1085.1400000000003,5,4,3,543,5,Germany,14
260,12664.0,2011-12-01 17:07:00,8,1116.6,5,1,5,515,5,Finland,12
261,12665.0,2011-01-19 08:34:00,2,45.0,1,1,4,114,1,Germany,14
262,12667.0,2011-10-12 17:00:00,10,299.82,3,2,5,325,3,Finland,12
263,12668.0,2011-12-02 15:10:00,47,1357.5199999999998,5,4,4,544,5,Germany,14
264,12669.0,2011-07-12 09:54:00,37,663.5999999999999,2,5,4,254,2,France,13
265,12670.0,2011-11-29 15:23:00,34,1124.34,5,3,5,535,5,France,13
266,12672.0,2011-01-14 09:20:00,4,62.849999999999994,1,3,2,132,1,France,13
267,12673.0,2011-12-04 13:55:00,13,165.81,5,2,1,521,5,Germany,14
268,12674.0,2011-11-03 09:54:00,24,423.78999999999996,3,4,4,344,3,France,13
269,12676.0,2011-11-15 12:25:00,15,301.58,4,2,5,425,4,Sweden,31
270,12678.0,2011-10-28 07:39:00,62,6949.910000000001,3,5,5,355,3,France,13
271,12679.0,2011-10-12 12:30:00,20,508.58,3,4,4,344,3,France,13
272,12680.0,2011-12-09 12:50:00,16,250.84000000000006,5,2,2,522,5,France,13
273,12681.0,2011-11-25 11:33:00,193,4181.51,4,5,5,455,4,France,13
274,12682.0,2011-12-06 10:00:00,146,3331.7000000000007,5,5,4,554,5,France,13
275,12683.0,2011-12-05 16:28:00,121,2710.0500000000006,5,5,4,554,5,France,13
276,12684.0,2011-12-02 09:53:00,29,645.28,5,3,3,533,5,France,13
277,12685.0,2011-11-11 13:46:00,44,759.5000000000002,4,4,4,444,4,France,13
278,12686.0,2010-12-03 09:51:00,3,42.48,1,2,2,122,1,France,13
279,12688.0,2011-08-18 08:49:00,51,1640.56,2,5,5,255,2,Israel,17
280,12689.0,2011-11-14 08:31:00,29,527.73,4,4,3,443,4,France,13
281,12690.0,2011-05-18 09:09:00,8,165.20000000000002,1,4,4,144,1,France,13
282,12691.0,2011-10-12 12:54:00,9,336.00000000000006,3,2,5,325,3,France,13
283,12693.0,2011-08-04 17:51:00,16,325.34999999999997,2,4,4,244,2,Germany,14
284,12694.0,2011-09-30 13:06:00,10,232.29999999999998,3,2,5,325,3,France,13
285,12695.0,2011-12-02 13:22:00,8,197.0,5,1,4,514,5,France,13
286,12697.0,2011-11-18 16:17:00,14,259.2699999999999,4,2,4,424,4,Sweden,31
287,12700.0,2011-12-02 10:49:00,83,1455.22,5,4,5,545,5,France,13
288,12701.0,2011-09-21 10:47:00,19,300.64000000000004,2,4,3,243,2,Germany,14
289,12702.0,2011-11-20 10:36:00,2,32.0,4,1,2,412,4,Germany,14
290,12703.0,2011-09-29 17:52:00,4,60.3,3,1,3,313,3,Germany,14
291,12704.0,2011-12-02 13:15:00,35,951.21,5,3,5,535,5,Finland,12
292,12705.0,2011-11-24 13:17:00,99,1753.0399999999997,4,5,5,455,4,Germany,14
293,12707.0,2011-02-21 08:38:00,7,147.10000000000002,1,4,4,144,1,France,13
294,12708.0,2011-11-10 09:52:00,56,849.26,4,5,3,453,4,Germany,14
295,12709.0,2011-11-24 15:38:00,54,2296.3999999999996,4,5,5,455,4,Germany,14
296,12710.0,2011-09-04 12:00:00,20,309.21999999999997,2,4,4,244,2,Germany,14
297,12712.0,2011-11-11 08:19:00,43,1137.3500000000001,4,4,5,445,4,Germany,14
298,12713.0,2011-12-09 12:16:00,16,454.55,5,2,4,524,5,Germany,14
299,12714.0,2011-11-30 15:43:00,74,1333.07,5,4,4,544,5,France,13
300,12715.0,2011-08-25 15:22:00,4,71.9,2,2,2,222,2,Sweden,31
301,12716.0,2011-12-06 08:55:00,16,228.24000000000004,5,2,2,522,5,France,13
302,12717.0,2011-07-11 14:51:00,16,213.18000000000006,2,4,2,242,2,Greece,15
303,12718.0,2011-09-29 16:38:00,5,74.97999999999999,3,1,3,313,3,France,13
304,12719.0,2011-12-04 13:45:00,12,142.0,5,1,3,513,5,France,13
305,12720.0,2011-12-07 08:03:00,109,1863.8700000000003,5,5,3,553,5,Germany,14
306,12721.0,2011-11-08 12:13:00,49,708.89,4,5,2,452,4,France,13
307,12722.0,2011-08-17 08:50:00,11,164.22000000000003,2,3,3,233,2,France,13
308,12723.0,2011-12-06 10:19:00,20,209.15999999999997,5,2,2,522,5,France,13
309,12724.0,2011-12-04 16:02:00,15,257.59999999999997,5,2,2,522,5,France,13
310,12725.0,2010-12-03 15:45:00,3,44.550000000000004,1,2,2,122,1,Italy,18
311,12726.0,2011-11-11 13:35:00,40,855.7800000000001,4,4,4,444,4,France,13
312,12727.0,2011-11-29 11:46:00,45,933.35,5,3,5,535,5,France,13
313,12728.0,2011-09-29 15:31:00,14,252.15,3,3,4,334,3,France,13
314,12729.0,2011-08-18 11:40:00,5,94.44999999999999,2,2,3,223,2,France,13
